taxi_type,pickup_month,trips,tip_rate,avg_tip_amount,avg_fare_amount
green,1,12000,0.9144166666666667,3.3890641666666665,15.939585
green,2,12000,0.91125,3.3867358333333333,16.31597
green,3,12000,0.90975,3.557471666666667,17.270773333333334
green,4,12000,0.91825,3.6881383333333337,17.699465833333335
green,5,12000,0.91,3.782941666666667,18.727195
green,6,12000,0.9165833333333333,3.8226091666666666,18.915186666666667
green,7,12000,0.91275,3.8373199999999996,18.793294166666666
green,8,12000,0.9003333333333333,4.129170833333333,21.602291666666666
green,9,12000,0.9114166666666667,4.1065974999999995,20.858885833333332
green,10,12000,0.9150833333333334,3.854713333333333,18.720600833333332
green,11,12000,0.9190833333333334,3.7485291666666667,18.123360833333333
green,12,12000,0.9150833333333334,3.7177491666666667,17.415595833333334
yellow,1,30000,0.9429,4.089088666666667,17.865387666666667
yellow,2,30000,0.9411,4.027208,17.706572
yellow,3,30000,0.9374666666666667,4.2187470000000005,18.616654
yellow,4,30000,0.9375,4.233320666666667,18.924021
yellow,5,30000,0.9386666666666666,4.433394333333333,20.024912333333333
yellow,6,30000,0.9315666666666667,4.429124333333334,19.912260666666665
yellow,7,30000,0.9213,4.317441666666666,20.045561
yellow,8,30000,0.9090666666666667,4.353538666666667,20.554115333333332
yellow,9,30000,0.9158,4.402242333333333,20.627827999999997
yellow,10,30000,0.9176666666666666,4.42646,20.600923666666667
yellow,11,30000,0.9140333333333334,4.251832666666666,20.009228666666665
yellow,12,30000,0.9103333333333333,4.411694000000001,20.792830333333335
